Timestamp,Temp mean (C),Temp max (C),Hum mean (%),Hum max (%),Pres mean (hPa),Pres max (hPa),Pres dev mean (hPa),Pres dev max (hPa)
2024-07-12 14:07:58.745398,21.43,21.43,32.0,32.01,956.29,956.32,0.02,0.04
2024-07-12 14:07:59.761346,21.43,21.43,32.0,32.01,956.3,956.32,0.02,0.04
2024-07-12 14:08:00.771801,21.43,21.43,32.0,32.01,956.3,956.32,0.02,0.04
2024-07-12 14:08:01.788138,21.43,21.43,32.01,32.02,956.3,956.33,0.01,0.04
2024-07-12 14:08:02.798207,21.43,21.43,32.01,32.02,956.31,956.33,0.02,0.04
2024-07-12 14:08:03.814702,21.43,21.43,32.02,32.03,956.31,956.33,0.02,0.03
2024-07-12 14:08:04.826296,21.43,21.43,32.02,32.03,956.32,956.33,0.02,0.03
2024-07-12 14:08:05.841434,21.43,21.43,32.03,32.04,956.31,956.33,0.02,0.03
2024-07-12 14:08:06.852759,21.43,21.43,32.03,32.04,956.31,956.33,0.02,0.03
2024-07-12 14:08:07.868957,21.43,21.43,32.04,32.05,956.31,956.33,0.01,0.03
